"No.","Time","Source","Destination","Protocol","Length","Info","TS","Seq"
"51","0.500182","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15638, Time=1628633055","1628633055","15638"
"52","0.502377","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15638, Time=1628633055","1628633055","15638"
"53","0.519165","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15639, Time=1628633215","1628633215","15639"
"54","0.521152","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15639, Time=1628633215","1628633215","15639"
"55","0.539182","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15640, Time=1628633375","1628633375","15640"
"56","0.541799","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15640, Time=1628633375","1628633375","15640"
"57","0.559243","10.2.0.17","10.2.0.11","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15641, Time=1628633535","1628633535","15641"
"58","0.561483","10.2.0.11","10.2.0.17","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15641, Time=1628633535","1628633535","15641"
"59","0.619089","10.2.0.17","10.2.0.11","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15642, Time=1628634015","1628634015","15642"
"60","0.621308","10.2.0.11","10.2.0.17","RTP","63","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15642, Time=1628634015","1628634015","15642"
"61","0.719241","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15643, Time=1628634815, Mark","1628634815","15643"
"62","0.722051","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15643, Time=1628634815, Mark","1628634815","15643"
"63","0.739557","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15644, Time=1628634975","1628634975","15644"
"64","0.742265","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15644, Time=1628634975","1628634975","15644"
"65","0.759188","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15645, Time=1628635135","1628635135","15645"
"66","0.761684","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15645, Time=1628635135","1628635135","15645"
"67","0.779213","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15646, Time=1628635295","1628635295","15646"
"68","0.781628","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15646, Time=1628635295","1628635295","15646"
"69","0.799189","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15647, Time=1628635455","1628635455","15647"
"70","0.801122","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15647, Time=1628635455","1628635455","15647"
"71","0.819170","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15648, Time=1628635615","1628635615","15648"
"72","0.822242","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15648, Time=1628635615","1628635615","15648"
"73","0.839104","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15649, Time=1628635775","1628635775","15649"
"74","0.841473","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15649, Time=1628635775","1628635775","15649"
"75","0.859183","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15650, Time=1628635935","1628635935","15650"
"76","0.861533","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15650, Time=1628635935","1628635935","15650"
"77","0.879139","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15651, Time=1628636095","1628636095","15651"
"78","0.881292","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15651, Time=1628636095","1628636095","15651"
"79","0.899169","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15652, Time=1628636255","1628636255","15652"
"80","0.915265","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15652, Time=1628636255","1628636255","15652"
"81","0.919176","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15653, Time=1628636415","1628636415","15653"
"82","0.921284","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15653, Time=1628636415","1628636415","15653"
"83","0.939893","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15654, Time=1628636575","1628636575","15654"
"84","0.941812","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15654, Time=1628636575","1628636575","15654"
"85","0.959220","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15655, Time=1628636735","1628636735","15655"
"86","0.962130","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15655, Time=1628636735","1628636735","15655"
"87","0.979121","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15656, Time=1628636895","1628636895","15656"
